T,bp,bs,ap,as
1649321618693,43495.58,0.04552,43501.1,0.82486
1649321618693,43493.82,0.1232,43501.11,0.59044
1649321618693,43492.6,0.00869,43501.48,0.23015
1649321618693,43492.47,0.25168,43501.66,1.16714
1649321618693,43492.46,0.75,43502.5,0.31036
1649321618693,43492.05,0.08894,43502.59,0.00345
1649321618693,43490.02,0.04342,43503.45,0.00202
1649321618693,43490.01,0.48084,43503.48,0.36
1649321618693,43490.0,0.2279,43503.59,0.02299
1649321618693,43489.99,0.36301,43504.22,0.023
1649321618693,43488.69,0.68926,43504.23,0.00108
1649321618693,43488.43,1.24676,43504.35,0.01584
1649321620691,43499.12,4.47755,43499.13,5.49987
1649321620691,43498.7,0.06577,43499.95,0.01603
1649321620691,43498.67,0.14957,43500.0,0.28993
1649321620691,43498.63,0.008,43500.01,0.01092
1649321620691,43498.56,0.00374,43500.37,0.75
1649321620691,43497.02,0.05426,43500.8,0.0008
1649321620691,43496.85,0.75,43501.0,0.00549
1649321620691,43496.84,0.05426,43501.1,0.82486
1649321620691,43496.6,0.00565,43501.11,0.59044
1649321620691,43496.11,0.00045,43501.48,0.23015
1649321620691,43495.74,0.31035,43501.66,1.16714
1649321620691,43495.62,0.04552,43502.59,0.11839
1649321620691,43495.58,0.04552,43503.45,0.00202
1649321620691,43494.77,0.36,43503.59,0.02299
1649321620691,43493.82,0.23814,43504.22,0.023
1649321620691,43492.6,0.00869,43504.23,0.00108
1649321620691,43492.05,0.08894,43504.35,0.01584
1649321620691,43490.02,0.04342,43505.0,0.25315
1649321620691,43490.01,0.48084,43505.32,0.00564
1649321620691,43490.0,0.2279,43506.16,1.18359
1649321621699,43499.12,4.95717,43499.13,1.04035
1649321621699,43498.7,0.06577,43499.95,0.01603
1649321621699,43498.67,0.14957,43500.0,0.28993
1649321621699,43498.63,0.008,43500.01,0.01092
1649321621699,43498.56,0.00374,43500.39,0.08
1649321621699,43498.1,0.31033,43500.8,0.0008
1649321621699,43497.02,0.05426,43501.0,0.00549
1649321621699,43496.85,0.75,43501.1,0.82486
1649321621699,43496.84,0.05426,43501.11,0.59044
1649321621699,43496.6,0.00565,43501.48,0.23015
1649321621699,43496.11,0.00045,43501.66,1.16714
1649321621699,43495.74,0.42529,43501.69,0.1
1649321621699,43495.62,0.04552,43501.74,0.08
1649321621699,43495.58,0.04552,43502.08,0.11
1649321621699,43494.77,0.36,43502.59,0.00345
1649321621699,43493.82,0.1232,43502.74,0.75
1649321621699,43492.6,0.00869,43503.34,0.27494
1649321621699,43492.05,0.08894,43503.45,0.00202
1649321621699,43490.02,0.04342,43503.59,0.02299
1649321621699,43490.01,0.48084,43504.23,0.00108
1649321623695,43499.12,4.0432,43499.13,6.81812
1649321623695,43498.7,0.06577,43499.56,0.07175
1649321623695,43498.69,0.1076,43499.95,0.01603
1649321623695,43498.63,0.008,43500.0,0.28993
1649321623695,43498.56,0.00374,43500.01,0.01092
1649321623695,43496.97,0.05395,43500.8,0.11574
1649321623695,43496.6,0.00565,43501.0,0.00549
1649321623695,43496.11,0.00045,43501.1,0.82486
1649321623695,43495.62,0.04552,43501.11,0.59044
1649321623695,43495.58,0.04552,43501.48,0.23015
1649321623695,43495.35,0.75,43501.49,0.32
1649321623695,43494.77,0.36,43501.57,0.00564
1649321623695,43493.82,0.1232,43501.66,1.16714
1649321623695,43492.69,0.11494,43502.59,0.00345
1649321623695,43492.6,0.00434,43502.74,0.75
1649321623695,43492.05,0.08894,43502.79,0.32
1649321623695,43490.69,0.32259,43502.84,0.24
1649321623695,43490.02,0.04342,43503.19,0.32
1649321623695,43490.01,0.48084,43503.45,0.00202
1649321623695,43490.0,0.2279,43503.48,0.36
1649321625695,43499.12,1.11033,43499.13,11.36045
1649321625695,43498.7,0.06577,43499.56,0.00275
1649321625695,43498.63,0.008,43499.95,0.01603
1649321625695,43498.56,0.00374,43500.0,0.28993
1649321625695,43496.6,0.00565,43500.01,0.01092
1649321625695,43496.27,0.31035,43500.8,0.11574
1649321625695,43496.11,0.00045,43501.0,0.00549
1649321625695,43495.62,0.04552,43501.1,0.82486
1649321625695,43495.58,0.04552,43501.11,0.59044
1649321625695,43495.36,0.33308,43501.48,0.23015
1649321625695,43495.35,0.75,43501.49,0.32
1649321625695,43494.77,0.36,43501.57,0.00564
1649321625695,43493.82,0.1232,43501.66,1.16714
1649321625695,43492.69,0.11494,43502.59,0.00345
1649321625695,43492.05,0.08894,43502.74,0.75
1649321625695,43490.69,0.32259,43502.79,0.32
1649321625695,43490.02,0.04342,43502.84,0.24
1649321625695,43490.01,0.48084,43503.19,0.32
1649321625695,43490.0,0.2279,43503.45,0.00202
1649321625695,43489.99,0.36301,43503.48,0.36
1649321627697,43499.12,10.44802,43499.13,0.14983
1649321627697,43498.7,0.06577,43499.95,0.01603
1649321627697,43498.69,0.15573,43499.99,0.08228
1649321627697,43498.63,0.008,43500.0,0.28993
1649321627697,43498.56,0.00374,43500.01,0.01092
1649321627697,43498.46,0.31033,43500.8,0.0008
1649321627697,43496.6,0.12059,43501.0,0.00549
1649321627697,43496.27,0.31035,43501.1,0.82486
1649321627697,43496.11,0.00045,43501.11,0.59044
1649321627697,43495.62,0.04552,43501.48,0.23015
1649321627697,43495.58,0.04552,43501.49,0.32
1649321627697,43495.36,0.33308,43501.66,1.16714
1649321627697,43495.35,0.75,43502.59,0.00345
1649321627697,43495.34,0.08522,43502.79,0.32
1649321627697,43494.77,0.36,43502.84,0.24
1649321627697,43494.16,0.11494,43503.19,0.32
1649321627697,43493.82,0.1232,43503.45,0.00202
1649321627697,43492.93,0.34479,43503.56,0.75
1649321627697,43492.6,0.00361,43504.23,0.11602
1649321627697,43492.3,0.34481,43504.35,0.01584
1649321629696,43499.12,14.32602,43499.13,0.09372
1649321629696,43498.71,0.31033,43499.95,0.01603
1649321629696,43498.7,0.06577,43499.99,0.02278
1649321629696,43498.69,0.15573,43500.0,0.29765
1649321629696,43498.63,0.008,43500.01,0.01092
1649321629696,43498.56,0.00374,43500.8,0.0008
1649321629696,43498.15,0.11493,43501.0,0.00549
1649321629696,43496.6,0.12059,43501.1,0.82486
1649321629696,43496.27,0.31035,43501.11,0.59044
1649321629696,43496.11,0.00045,43501.48,0.23015
1649321629696,43495.62,0.04552,43501.66,1.16714
1649321629696,43495.58,0.04552,43502.59,0.00345
1649321629696,43495.36,0.33308,43503.45,0.00202
1649321629696,43495.35,0.75,43503.95,0.23494
1649321629696,43495.34,0.08522,43504.23,0.00108
1649321629696,43494.77,0.36,43504.35,0.01584
1649321629696,43494.37,0.34477,43505.0,0.25315
1649321629696,43494.07,1.12429,43505.25,0.87
1649321629696,43493.82,0.1232,43505.3,0.24
1649321629696,43492.93,0.34479,43505.64,0.01
1649321630696,43499.12,14.42575,43499.13,0.09995
1649321630696,43498.84,0.05715,43499.94,0.02278
1649321630696,43498.71,0.31033,43499.95,0.01603
1649321630696,43498.69,0.15573,43500.0,0.29765
1649321630696,43498.63,0.008,43500.01,0.01092
1649321630696,43498.56,0.00374,43500.8,0.0008
1649321630696,43498.15,0.11493,43501.0,0.00549
1649321630696,43496.6,0.12059,43501.1,0.82486
1649321630696,43496.27,0.31035,43501.11,0.59044
1649321630696,43496.11,0.00045,43501.48,0.23015
1649321630696,43495.62,0.04552,43501.66,1.16714
1649321630696,43495.58,0.04552,43502.59,0.00345
1649321630696,43495.36,0.33308,43503.45,0.00202
1649321630696,43495.35,0.75,43503.95,0.23494
1649321630696,43495.34,0.08522,43504.23,0.00108
1649321630696,43494.77,0.36,43504.35,0.01584
1649321630696,43494.37,0.34477,43505.0,0.25315
1649321630696,43494.07,1.12429,43505.25,0.87
1649321630696,43493.82,0.1232,43505.3,0.24
1649321630696,43492.93,0.34479,43505.64,0.01
1649321632695,43499.94,0.44769,43499.95,11.88157
1649321632695,43499.48,0.00863,43500.0,0.29765
1649321632695,43499.45,0.008,43500.01,0.01092
1649321632695,43499.44,0.00147,43500.66,0.00537
1649321632695,43499.31,0.05785,43500.8,0.0008
1649321632695,43499.12,0.184,43500.82,0.00563
1649321632695,43498.56,0.00374,43500.89,0.75
1649321632695,43496.6,0.00565,43501.0,0.00549
1649321632695,43496.11,0.00045,43501.1,0.82486
1649321632695,43495.62,0.04552,43501.11,0.59044
1649321632695,43495.58,0.04552,43501.48,0.23015
1649321632695,43495.36,0.33308,43501.66,1.16714
1649321632695,43495.35,0.75,43501.7,0.00412
1649321632695,43494.37,0.34477,43502.59,0.00345
1649321632695,43493.82,0.1232,43503.4,0.31036
1649321632695,43493.61,0.11494,43503.45,0.00202
1649321632695,43492.94,0.02288,43504.29,0.02299
1649321632695,43492.93,0.34479,43504.3,0.36
1649321632695,43492.6,0.00544,43504.35,0.01584
1649321632695,43492.3,0.45975,43505.0,0.25315
