0,1649296583909,43349.64,6.21356,43349.63,0.00886
1,1649296583909,43350.55,1.01536,43348.9,0.20931
2,1649296583909,43351.13,0.0105,43348.54,0.3
3,1649296583909,43351.21,4.24391,43348.52,0.3
4,1649296583909,43351.22,0.0686,43348.04,0.7139
5,1649296583909,43351.53,0.12611,43347.51,0.14905
6,1649296583909,43351.92,0.31144,43346.39,0.3867
7,1649296583909,43352.69,0.23073,43346.38,0.83888
8,1649296583909,43353.37,0.00507,43346.08,0.45
9,1649296583909,43353.38,0.0923,43344.85,0.52016
10,1649296583909,43353.49,0.61341,43343.44,0.11963
11,1649296583909,43354.78,0.12089,43343.3,4.86357
12,1649296583909,43355.46,0.3,43343.29,0.36
13,1649296583909,43356.13,0.00027,43342.53,0.00108
14,1649296583909,43356.14,1.22497,43342.04,0.03941
15,1649296583909,43356.2,0.05952,43341.55,0.62647
16,1649296583909,43356.85,0.82331,43340.48,0.50046
17,1649296583909,43357.15,0.97486,43340.22,0.00108
18,1649296583909,43357.19,0.23072,43340.1,0.29999
19,1649296583909,43357.39,0.3114,43340.0,1.30892
