T,o,h,l,c,v
1609750800000,32045.2,32152.2,30248.8,31038.6,11271.8957
1609754400000,31038.30078125,31227.30078125,28130.0,30270.80078125,19376.8359375
1609758000000,30270.80078125,30900.19921875,29400.0,30743.099609375,9413.4921875
1609761600000,30743.0,31434.099609375,30454.30078125,31219.0,8316.8798828125
1609765200000,31219.0,31400.0,30600.0,31400.0,5474.65576171875
1609768800000,31400.0,32167.9,31400.0,32113.7,7479.3858
1609772400000,32113.7,32185.7,31550.0,31745.7,5321.6196
1609776000000,31745.7,31920.0,30723.0,31320.3,8174.2846
1609779600000,31320.3,31523.0,30626.4,31024.2,4962.5637
1609783200000,31022.3,31465.4,31001.0,31165.2,3361.4405
1609786800000,31165.19921875,31855.80078125,31105.0,31665.5,3388.37255859375
1609790400000,31665.5,31831.0,31210.0,31245.0,2850.96240234375
1609794000000,31245.0,31579.0,30856.1,31014.3,3202.4556000000002
1609797600000,31014.3,31474.8,30950.0,31332.0,1646.48437
1609801200000,31332.0,32031.0,31150.0,31988.7,4193.6472
1609804800000,31989.80078125,32853.3984375,31989.69921875,32430.5,7707.64208984375
1609808400000,32430.69921875,32796.0,32224.30078125,32786.1015625,4246.96044921875
1609812000000,32786.1015625,32828.30078125,32221.099609375,32306.599609375,3163.429931640625
1609815600000,32306.6,32536.1,31130.9,31200.0,5695.0441
1609819200000,31190.0,31538.5,30418.0,30859.0,7229.484375
1609822800000,30859.0,31366.2,29900.0,30436.3,6366.9757
1609826400000,30436.3,31270.4,29900.0,31123.3,6611.2114
1609830000000,31123.30078125,31312.0,30759.5,30817.80078125,2811.38330078125
1609833600000,30817.8,31522.2,30817.8,31192.1,3237.1217
1609837200000,31192.2,31821.9,31157.9,31569.6,3935.5982
1609840800000,31569.599609375,31687.099609375,31088.30078125,31345.80078125,3174.76025390625
1609844400000,31347.7,31777.0,31284.2,31776.7,2908.1222
1609848000000,31776.7,32057.1,31563.8,31585.0,4161.5515000000005
1609851600000,31585.0,31900.0,31416.3,31460.0,2523.0236
1609855200000,31460.1,32375.1,31111.8,32342.3,5942.1031
1609858800000,32343.6,32374.3,31929.4,32100.0,3616.5995
1609862400000,32100.0,32670.0,31763.19921875,32469.900390625,4926.169921875
1609866000000,32469.9,32790.0,32254.2,32742.7,3599.6465
1609869600000,32742.7,33433.6,32650.0,33372.8,6647.012
1609873200000,33372.80078125,34187.1015625,33098.80078125,33697.80078125,8659.3349609375
1609876800000,33693.8,34044.1,33318.0,33969.2,5800.654399999999
1609880400000,33968.7,33996.0,33471.9,33699.6,3682.0748
1609884000000,33699.6,34360.0,33695.6,34183.4,4616.4048
1609887600000,34183.4,34284.9,33650.0,33949.5,4787.6878
1609891200000,33949.5,34107.6,33288.0,33918.0,6106.3524
1609894800000,33918.0,34018.9,33513.1,33811.3,3237.6605
1609898400000,33811.3,34135.8,33768.3,33873.3,3252.254
1609902000000,33873.30078125,34170.0,33652.0,34117.6015625,3183.088623046875
1609905600000,34116.8,35766.6,34109.8,35325.9,12735.4162
1609909200000,35326.80078125,35590.0,34510.0,34978.8984375,5595.78369140625
1609912800000,34977.3,35229.1,34782.4,35125.5,3923.0253000000002
1609916400000,35125.5,35248.6,34350.0,34676.4,3898.7378
1609920000000,34666.8,34950.8,34015.0,34594.3,5094.761
1609923600000,34596.1,34607.7,33357.9,33919.5,5753.9135
1609927200000,33919.5,34550.0,33834.6,34417.4,3851.5745
1609930800000,34417.4,35200.0,34342.9,34918.5,6362.8054
1609934400000,34918.5,35088.0,34415.6,34929.9,4569.5155
1609938000000,34929.8984375,35050.0,34300.0,34550.0,4296.27197265625
1609941600000,34550.0,34593.5,34052.3984375,34213.5,5728.36474609375
1609945200000,34213.6015625,34790.0,34150.0,34566.19921875,4050.156494140625
1609948800000,34566.2,35076.4,34372.9,34612.4,6142.9881
1609952400000,34616.0,35057.8,34562.0,34898.5,3410.294
1609956000000,34898.5,35245.0,34894.19921875,35215.80078125,3704.008056640625
1609959600000,35215.80078125,35695.0,34652.6015625,34816.69921875,5619.208984375
1609963200000,34818.9,36250.0,34280.0,36015.9,10922.4134
1609966800000,36015.19921875,36470.0,35650.0,35874.19921875,7481.326171875
1609970400000,35870.0,36380.0,35700.9,35989.6,2717.8476
1609974000000,35989.6015625,36939.19921875,35949.1015625,36769.3984375,5501.43994140625
1609977600000,36769.4,37287.6,36422.7,37150.7,6259.5803
1609981200000,37150.7,37227.6,36615.8,36871.5,4542.0366
1609984800000,36871.5,37087.0,36456.0,36962.3984375,4112.97998046875
1609988400000,36962.4,37699.0,36926.5,37454.5,4747.6484
1609992000000,37452.6,37550.0,37056.1,37450.9,4099.9543
1609995600000,37450.9,37700.8,37100.8,37347.2,4337.6013
1609999200000,37347.19921875,37439.80078125,36710.0,37130.80078125,4095.351318359375
1610002800000,37130.8,37338.7,36720.0,36859.8,3782.2779
1610006400000,36863.0,37350.0,36300.0,37217.6,5254.6103
1610010000000,37217.6,37501.0,36905.0,37492.7,4407.0456
